"instruction","output"
"How do you implement operator overloading?","Define operator functions in class. Example: ArrayList& operator=(const ArrayList& other) for assignment. Follow conventions: return reference for assignment operators."
"What is RAII principle in C++?","Resource Acquisition Is Initialization. Acquire resources in constructor, release in destructor. Ensures automatic cleanup when object goes out of scope."
"How do you use function pointers in C++?","Function pointers store addresses of functions. Declaration: int (*ptr)(int, int) = &add; Usage: int result = ptr(5, 3); Useful for callbacks and function selection."
"What are the benefits of using namespace?","Namespaces prevent name collisions, organize code, allow same names in different contexts. Example: std namespace contains standard library. Use using directive carefully."
"How do you implement a binary search algorithm?","int binarySearch(int arr[], int l, int r, int x){ if(r >= l){ int mid = l + (r-l)/2; if(arr[mid] == x) return mid; if(arr[mid] > x) return binarySearch(arr, l, mid-1, x); return binarySearch(arr, mid+1, r, x); } return -1; }"
"What is the time complexity of recursive factorial?","O(n) time complexity and O(n) space complexity due to recursive calls. Each call adds stack frame. Iterative version would be O(n) time, O(1) space."
"How do you prevent memory leaks in C++?","Always pair new with delete, new[] with delete[]. Use smart pointers (unique_ptr, shared_ptr). Follow RAII principle. Set pointers to nullptr after deletion."
"What is the difference between struct and class in C++?","Default access: struct members are public, class members are private. Otherwise identical. struct traditionally used for simple data, class for complex objects."
"How do you implement a copy constructor?","className(const className& other) : member1(other.member1) { /* deep copy dynamic members */ }. Needed when class manages dynamic memory to prevent shallow copying issues."
"What are static members in C++?","Static members belong to class, not instances. Shared by all objects. Example: static int count; Access with className::count. Static functions can't access non-static members."
"How do you use const member functions?","const member functions promise not to modify object state. Example: int getSize() const; Can be called on const objects. Good practice for getter functions."
"What is multiple inheritance in C++?","Class can inherit from multiple base classes. Example: class C : public A, public B. Can cause diamond problem, solved with virtual inheritance."
"How do you implement abstract classes in C++?","Use pure virtual functions: virtual void function() = 0; Class with pure virtual function is abstract, cannot be instantiated. Derived classes must implement pure virtual functions."
"What is the purpose of friend functions?","Friend functions can access private members of class. Example: friend ostream& operator<<(ostream&, const MyClass&); Useful for operators that need access to private data."
"How do you use iterators with STL containers?","Iterators provide uniform interface to traverse containers. Example: vector<int>::iterator it; for(it = v.begin(); it != v.end(); ++it) cout << *it;"
"What are lambda expressions in C++11?","Anonymous functions defined inline. Syntax: [capture](parameters) -> return_type { body }. Example: auto add = [](int a, int b) { return a + b; }; Useful with algorithms."
"How do you implement move semantics in C++11?","Move constructor and move assignment operator transfer resources instead of copying. Example: MyClass(MyClass&& other) : data(other.data) { other.data = nullptr; }"
"What is the auto keyword in C++11?","auto lets compiler deduce type automatically. Example: auto x = 5; (int), auto y = 3.14; (double). Useful with complex template types and iterators."
"How do you use range-based for loops?","for(auto& element : container) { /* process element */ }. Cleaner syntax than iterators. Use & to avoid copying, const& for read-only access."
"What are smart pointers in C++11?","unique_ptr: exclusive ownership, shared_ptr: shared ownership with reference counting, weak_ptr: non-owning reference. Automatically manage memory, prevent leaks."
"How do you handle exceptions in C++?","try { /* code that may throw */ } catch(const exception_type& e) { /* error handling */ } catch(...) { /* catch all */ }. Use throw to raise exceptions. RAII helps with cleanup."
"What is the rule of three/five in C++?","If class needs custom destructor, copy constructor, or copy assignment, it likely needs all three. C++11 adds move constructor and move assignment (rule of five)."
"How do you optimize C++ code performance?","Use const, inline functions, pass by reference, reserve() for containers, avoid unnecessary copies, profile code, choose appropriate algorithms and data structures."
"What are variadic templates in C++11?","Templates that accept variable number of arguments. Example: template<typename... Args> void func(Args... args). Used in printf-like functions, tuple implementation."
"Explain the compilation process in C++.","Preprocessing (includes, macros) → Compilation (source to assembly) → Assembly (assembly to object code) → Linking (combine object files, libraries) → Executable."
"What is name mangling in C++?","Compiler changes function names to include type information for overloading support. extern 'C' prevents mangling for C compatibility. Different compilers use different schemes."
"How do you debug C++ programs effectively?","Use debugger (gdb, Visual Studio), print statements, assertions, static analysis tools, valgrind for memory issues, address sanitizer, code reviews."
"What are the SOLID principles applied to C++?","Single Responsibility, Open/Closed, Liskov Substitution, Interface Segregation, Dependency Inversion. Guide object-oriented design for maintainable, extensible code."
"How do you implement design patterns in C++?","Singleton: static instance with getInstance(). Observer: subject maintains list of observers. Factory: create objects without specifying exact class. Strategy: encapsulate algorithms."
"What is template metaprogramming?","Code that manipulates code at compile time using templates. Example: factorial<5>::value computed at compile time. Enable_if, SFINAE techniques for conditional compilation."
"How do you create thread-safe code in C++?","Use mutexes (std::mutex), locks (std::lock_guard), atomic operations (std::atomic), condition variables. Avoid data races, understand memory ordering."
"What are the differences between C++98/03/11/14/17/20?","C++11: auto, lambdas, smart pointers. C++14: generic lambdas, return type deduction. C++17: structured bindings, optional. C++20: concepts, modules, ranges."
"How do you implement custom allocators?","Define allocate() and deallocate() methods. Example: template<typename T> class MyAllocator { T* allocate(size_t n); void deallocate(T* p, size_t n); };"
"What is SFINAE in template programming?","Substitution Failure Is Not An Error. Failed template instantiation is silently ignored. Used with enable_if for conditional template specialization based on type properties."
"How do you profile C++ applications?","Use profilers like gprof, Valgrind, Intel VTune. Identify hotspots, memory usage patterns. Focus optimization on critical paths. Measure before and after changes."
"What is the difference between composition and inheritance?","Inheritance: 'is-a' relationship, tight coupling. Composition: 'has-a' relationship, loose coupling, more flexible. Prefer composition over inheritance for better design."
"How do you implement thread pools in C++?","Create fixed number of worker threads, task queue protected by mutex. Workers wait on condition variable for tasks. Submit tasks to queue, workers execute them."
"What are coroutines in C++20?","Functions that can suspend and resume execution. Use co_await, co_yield, co_return keywords. Useful for asynchronous programming, generators, state machines."
"How do you use concepts in C++20?","Concepts define requirements for template parameters. Example: template<std::integral T> void func(T x). Provide better error messages, clearer interfaces than SFINAE."
"What is structured binding in C++17?","Decompose objects into variables. Example: auto [x, y] = std::make_pair(1, 2); Works with pairs, tuples, arrays, structs. Cleaner than std::tie."
"How do you implement fold expressions in C++17?","Variadic template feature. Example: template<typename... Args> auto sum(Args... args) { return (args + ...); } Simplifies parameter pack operations."
"What are modules in C++20?","Alternative to header files. Better compilation times, no macro pollution. Example: export module math; export int add(int, int); import math; Cleaner dependencies."
"How do you use std::optional in C++17?","Represents optional values. Example: std::optional<int> divide(int a, int b) { if(b != 0) return a/b; return std::nullopt; } Check with has_value(), access with value()."
"What is std::variant in C++17?","Type-safe union. Example: std::variant<int, string> v = 42; Use std::visit() to access values safely. Alternative to void* or manual union management."
"How do you implement ranges in C++20?","Composable view-based algorithms. Example: auto even = numbers | std::views::filter([](int i){ return i % 2 == 0; }); Lazy evaluation, functional programming style."
"What are the key principles of modern C++ development?","RAII, smart pointers, prefer algorithms to loops, const correctness, move semantics, range-based for, auto keyword, uniform initialization, lambda expressions."
"How do you implement a template linked list in C++?","Use template<class elemType> with Node structure containing element and next pointer. Example: struct Node{ elemType element; Node* next; }. Implement dynamic insertion/deletion."
"What is the difference between ArrayList and LinkedList?","ArrayList: O(1) access by index, O(n) insertion/deletion. LinkedList: O(n) access, O(1) insertion/deletion at known position. ArrayList has better cache locality."
"How do you implement insertAt() in a linked list?","Create new node, find position-1 node, set newNode->next = node->next, set node->next = newNode. Handle special case for position 1 (head insertion)."
"What are the time complexities of linked list operations?","Search: O(n), Insert at position: O(n), Insert at head: O(1), Delete at position: O(n), Access by index: O(n). No random access like arrays."
"How do you implement a destructor for linked list?","Iterate through all nodes and delete each: while(temp){ Node* elemToDel = temp; temp = temp->next; delete elemToDel; }. Set head to NULL, size to 0."
"What is the difference between struct and class for Node?","Functionally identical. struct members default to public, class members default to private. struct traditionally used for simple data holders like Node."
"How do you handle memory management in linked lists?","Use new to allocate nodes, delete to free them. Always delete in destructor and clearList(). Check for NULL pointers to avoid segmentation faults."
"What sorting algorithms are commonly implemented in C++?","Bubble Sort: O(n²), Selection Sort: O(n²), Insertion Sort: O(n²), Merge Sort: O(n log n), Quick Sort: O(n log n) average, Shell Sort: depends on gap sequence."
"How does bubble sort work?","Compare adjacent elements, swap if out of order. Repeat for all elements. After each pass, largest element 'bubbles' to end. Simple but inefficient O(n²)."
"Explain the merge sort algorithm.","Divide array into halves recursively until single elements. Merge sorted halves back together. Time: O(n log n), Space: O(n). Stable sorting algorithm."
"What is the quicksort algorithm?","Choose pivot, partition array around pivot, recursively sort subarrays. Average O(n log n), worst case O(n²). In-place sorting, not stable."
"How do you implement selection sort?","Find minimum element in unsorted portion, swap with first unsorted element. Repeat until array is sorted. Always O(n²) comparisons, O(n) swaps."
"What is insertion sort and when is it useful?","Insert each element into its correct position in sorted portion. O(n²) worst case, but O(n) for nearly sorted arrays. Good for small arrays."
"How do you read vector operations from input file?","Parse input like '[4,5.5] + [6,6.7]' to extract vector coordinates and operations. Use string parsing or regular expressions to identify components."
"What is a customer simulation system?","Models customer service with arrival times, waiting queues, and servers. Tracks statistics like wait times, customers served, queue lengths for analysis."
"How do you implement a serverType class?","Include status (free/busy), current customer, transaction time. Methods: isFree(), setBusy(), setFree(), decreaseTransactionTime(), setCurrentCustomer()."
"What is a customerType class design?","Store customer number, arrival time, waiting time, transaction time. Methods: setCustomerInfo(), getWaitingTime(), incrementWaitingTime(), getArrivalTime()."
"How do you manage multiple servers in simulation?","Use serverListType array of servers. Methods: getFreeServerID(), getNumberOfBusyServers(), setServerBusy(), updateServers() to manage server states."
"What is event-driven simulation?","Simulation advances by processing events (arrivals, departures) in chronological order. More accurate than time-stepped simulation for systems with variable event timing."
"How do you generate random customer arrivals?","Use exponential distribution: value = rand()/RAND_MAX; return value > exp(-1.0/arrivalRate). Models Poisson arrival process commonly used in queuing theory."
"What statistics are important in queuing simulation?","Average wait time, number of customers served, customers left in queue/servers, server utilization, maximum queue length, total simulation time."
"How do you implement a queue update function?","Increment waiting time for all customers in queue. Use temporary queue to iterate through all customers, increment their waiting times, then restore queue."
"What is the purpose of simulation parameters?","Control simulation behavior: simulation time (how long to run), number of servers, transaction time, arrival rate. Allow testing different scenarios."
"How do you handle file I/O for student data?","Use ifstream to read student IDs from text files. Example: while(file >> studentID) process(studentID). Check file.is_open() for successful opening."
"What are the advantages of template classes?","Code reusability, type safety, performance (no runtime overhead), generic programming. Same code works with different data types without modification."
"How do you implement bounds checking in containers?","Check if position > size before access. Throw exceptions for out-of-bounds access: if(position > size) throw 'Out of bounds'. Prevents memory corruption."
"What is the difference between isFull() for ArrayList vs LinkedList?","ArrayList: size == maxSize (fixed capacity). LinkedList: return false (only limited by available memory). LinkedList has dynamic size."
"How do you implement operator= for linked list?","Clear current list, iterate through source list creating new nodes. Deep copy all elements. Return *this reference for chaining assignments."
"What is the assert() macro used for?","Debug-time checking of conditions. assert(temp != NULL) terminates program if condition false. Only active in debug builds, removed in release builds."
"How do you traverse a linked list safely?","Check for NULL pointer before dereferencing: while(temp != NULL). Always verify node exists before accessing next pointer to prevent crashes."
"What is the difference between delete and delete[]?","delete for single object, delete[] for arrays. Must match new/delete and new[]/delete[]. Mixing them causes undefined behavior and potential crashes."
"How do you implement a copy constructor for linked list?","LinkedList(const LinkedList& other) : size(0), head(NULL) { *this = other; } or manually copy each node to perform deep copy of the list."
"What is the purpose of virtual destructor?","Ensures proper cleanup in inheritance hierarchies. When deleting through base pointer, calls derived destructor first, then base destructor."
"How do you prevent memory leaks in template classes?","Implement proper destructor, copy constructor, assignment operator (Rule of Three). Use RAII principle: acquire resources in constructor, release in destructor."
"What is the difference between const and non-const member functions?","const functions promise not to modify object state, can be called on const objects. Non-const functions may modify state, cannot be called on const objects."
"How do you implement exception safety in C++?","Use RAII, catch exceptions and clean up resources, provide strong exception guarantee (operation succeeds or has no effect), avoid resource leaks."
"What is the maxListSize() function purpose?","Returns theoretical maximum size of container. ArrayList: constructor parameter. LinkedList: INT_MAX (limited by available memory). Useful for capacity planning."
"How do you implement efficient insertion at end of linked list?","Maintain tail pointer for O(1) insertion: tail->next = newNode; tail = newNode. Without tail pointer, need O(n) traversal to find end."
"What is the difference between pre-increment and post-increment?","++i returns incremented value, i++ returns old value then increments. ++i is more efficient for complex types (no temporary copy needed)."
"How do you handle edge cases in linked list operations?","Check for empty list, single element, insertion at head/tail, deletion of head/tail. Always verify indices are valid before operations."
"What is the purpose of getNodeAt() helper function?","Private helper to traverse linked list to specific position. Returns pointer to node at given position. Encapsulates traversal logic for reuse."
"How do you implement list size tracking?","Maintain size member variable, increment on insertion, decrement on deletion. More efficient than counting nodes each time size is needed."
"What is the difference between shallow and deep copy?","Shallow copy: copy pointers (shares data). Deep copy: copy data pointed to (independent copies). Linked lists need deep copy to avoid shared nodes."
"How do you debug linked list operations?","Print list contents, check node connections, verify size consistency, use debugger to step through pointer operations, draw list structure on paper."
"What are common linked list implementation errors?","Memory leaks (forgetting delete), dangling pointers (using after delete), NULL pointer dereference, incorrect size tracking, circular references."
"How do you implement a print function for templates?","template<class elemType> void LinkedList<elemType>::print() const { Node<elemType>* temp = head; while(temp) { cout << temp->element << ' '; temp = temp->next; } }"
"What is the purpose of NULL initialization in Node constructor?","Node() { next = NULL; } ensures next pointer starts with safe value. Prevents accessing uninitialized memory which could cause crashes."
"How do you implement insertEnd() efficiently?","If maintaining tail pointer: O(1). Without tail: traverse to end O(n). Set last node's next to new node, update tail if maintained."
"What is the benefit of using templates over void pointers?","Type safety at compile time, no casting needed, better performance (no runtime type checking), clearer code, template specialization possible."
"How do you implement clearList() function?","Iterate through list deleting each node: while(head) { Node* temp = head; head = head->next; delete temp; } Set size to 0, head to NULL."
"How do you handle exceptions in container operations?","Check preconditions, throw meaningful exceptions (strings or exception objects), provide exception safety guarantees, document exception conditions."
"What is the purpose of const correctness in C++?","Prevents accidental modifications, enables compiler optimizations, documents intent, allows const objects to use methods, improves code reliability."
"How do you implement move semantics for containers?","Move constructor: steal resources from source object. Move assignment: swap resources. Set source to valid empty state. Avoids expensive copies."
"What are the benefits of RAII in container design?","Automatic resource management, exception safety, no memory leaks, deterministic cleanup, simpler code (no explicit cleanup calls needed)."
"How do you test container implementations?","Unit tests for all operations, boundary conditions (empty, single element), exception cases, performance tests, memory leak detection, invariant checking."
"What is the difference between capacity and size?","Size: number of elements currently stored. Capacity: maximum elements that can be stored without reallocation. Vector maintains both concepts."
"How do you implement iterator pattern for custom containers?","Define iterator class with operators ++, --, *, ==, !=. Provide begin() and end() methods. Enable range-based for loops and STL algorithms."
"What are the performance considerations for different sorting algorithms?","Time complexity: Merge/Quick O(n log n), Bubble/Selection/Insertion O(n²). Space: Merge O(n), others O(1). Stability: Merge/Insertion stable."
"How do you choose between different data structures?","Consider operations needed: frequent access (array/vector), frequent insertion/deletion (linked list), search (balanced tree), LIFO (stack), FIFO (queue)."
"What is the role of header guards in large projects?","Prevent multiple inclusion of same header, avoid redefinition errors, faster compilation. Use #pragma once or traditional #ifndef guards."
"How do you implement generic algorithms that work with different containers?","Use templates with iterator parameters. Example: template<typename Iterator> void sort(Iterator begin, Iterator end). Works with any container providing iterators."
"What debugging techniques are useful for template code?","Explicit instantiation for specific types, static_assert for compile-time checks, template specialization for debugging versions, careful error message reading."
"How do you optimize memory usage in containers?","Reserve capacity when size known, use appropriate data types, implement move semantics, consider memory pools, minimize fragmentation."
"What is the difference between vector and list in STL?","Vector: contiguous memory, random access O(1), insertion O(n). List: linked nodes, sequential access O(n), insertion O(1) at known position."
"How do you implement thread-safe containers?","Use mutexes for synchronization, lock-free algorithms for performance, reader-writer locks for read-heavy workloads, atomic operations for simple cases."
"How do you implement a doubly linked list node class?","class IntLinkedListNode { int element; IntLinkedListNode* prev; IntLinkedListNode* next; public: IntLinkedListNode(int element, IntLinkedListNode* prev = NULL, IntLinkedListNode* next = NULL); };"
"What are the essential operations for a linked list class?","insertFront(), insertBack(), removeFront(), removeBack(), print(), constructor, destructor with proper memory cleanup."
"How do you properly delete a linked list?","Iterate through all nodes: IntLinkedListNode *curr = head; while(curr != NULL) { IntLinkedListNode *temp = curr->getNext(); delete curr; curr = temp; }"
"How do you insert at the front of a doubly linked list?","Create new node with next pointing to current head. If head exists, set head->prev to new node. Update head to new node. If list was empty, also set tail."
"How do you insert at the back of a doubly linked list?","Create new node with prev pointing to current tail. If tail exists, set tail->next to new node. Update tail to new node. If list was empty, also set head."
"How do you handle edge cases in linked list removal?","Check for empty list (throw exception), handle single-node list (update both head and tail to NULL), update pointers correctly for multi-node lists."
"What is the time complexity of linked list operations?","Insert/remove at known position: O(1). Search: O(n). Insert/remove at arbitrary position: O(n) to find position plus O(1) to modify."
"How do you implement exponential search in an array?","Start with bound = 1. While arr[bound] < key, bound *= 2. Then binary search between bound/2 and min(bound, array_size-1)."
"What is the advantage of exponential search?","Efficient for unbounded or very large arrays. Time complexity O(log i) where i is position of target element."
"How do you read data from a file into a string array?","Use ifstream with getline(): ifstream fin(filename); int index = 0; while(!fin.eof()) { getline(fin, books[index++]); }"
"What are common file I/O patterns in C++?","Reading line by line with getline(), reading word by word with >>, checking end of file with eof(), proper file closing."
"How do you handle dynamic memory allocation for arrays?","Use new[] for allocation: string* books = new string[MAXBOOKS]; Remember to use delete[] books; for cleanup to prevent memory leaks."
"What is the purpose of const in getter methods?","Indicates method doesn't modify object state: int getElement() const; Allows calling on const objects and provides compiler guarantees."
"How do you implement proper encapsulation in C++?","Use private data members, public getter/setter methods, initialize in constructor, validate inputs in setters, provide const access where appropriate."
"What are the benefits of using header files?","Separate interface from implementation, allow code reuse, faster compilation through forward declarations, better code organization."
"How do you handle errors in linked list operations?","Throw exceptions for invalid operations: throw 'Attempting to remove from empty linked list'; Use try-catch blocks in calling code."
"How do you implement copy constructor for linked list?","Deep copy all nodes: IntLinkedList(const IntLinkedList& other) { head = tail = NULL; // copy each element from other }"
"What is RAII and how does it apply to linked lists?","Resource Acquisition Is Initialization. Constructor allocates resources, destructor cleans up. Ensures automatic cleanup even with exceptions."
"How do you implement assignment operator for linked list?","Check self-assignment, clean current list, deep copy from source: IntLinkedList& operator=(const IntLinkedList& other) { if(this != &other) { /* cleanup and copy */ } return *this; }"
"What are the advantages of template classes over type-specific classes?","Code reuse, type safety, performance (no runtime overhead), flexibility to work with any type, maintainability."
"How do you create a generic linked list template?","template<typename T> class LinkedList { struct Node { T data; Node* next; }; Node* head; public: void insert(const T& value); };"
"What is the role of typename in templates?","Tells compiler that following identifier is a type name, especially when it depends on template parameter: typename Container::iterator it;"
"How do you specialize templates for specific types?","Template specialization: template<> class LinkedList<bool> { /* specialized implementation for bool */ }; Allows optimized implementations."
"What are template metaprogramming techniques?","SFINAE, type traits, constexpr functions, variadic templates. Enable compile-time computations and conditional compilation."
"How do you implement iterator patterns in C++?","Provide begin() and end() methods returning iterator objects. Iterator should support ++, *, ==, != operators for range-based for loops."
"What is the difference between stack and heap allocation?","Stack: automatic, fast, limited size, LIFO cleanup. Heap: manual (new/delete), slower, large capacity, manual cleanup required."
"How do you implement a stack using arrays?","class Stack { int arr[MAX]; int top; public: void push(int x) { arr[++top] = x; } int pop() { return arr[top--]; } };"
"How do you implement a stack using linked lists?","Use singly linked list with head as stack top. Push adds to front, pop removes from front. More flexible size than array implementation."
"What are the applications of stacks in programming?","Function call management, expression evaluation, backtracking algorithms, undo operations, syntax parsing, memory management."
"How do you evaluate postfix expressions using stacks?","Scan left to right: push operands onto stack, for operators pop two values, compute result, push back. Final stack top is answer."
"How do you convert infix to postfix notation?","Use operator stack and output queue. Higher precedence operators and closing parentheses trigger stack pops to output."
"What is the difference between queue and stack?","Stack: LIFO (Last In First Out), operations at one end. Queue: FIFO (First In First Out), insert at rear, remove from front."
"How do you implement a circular queue?","Use array with front and rear pointers. Use modulo arithmetic: rear = (rear + 1) % size. Handle full/empty conditions carefully."
"What are applications of queues in computer science?","Process scheduling, breadth-first search, buffering in I/O systems, print job management, handling requests in servers."
"How do you implement priority queues?","Use binary heap (complete binary tree with heap property). Insert maintains heap property, extract-max removes root and reheapifies."
"What is the time complexity of heap operations?","Insert: O(log n), extract-max: O(log n), peek-max: O(1), build-heap from array: O(n)."
"How do you implement binary search trees?","Each node has left and right children. Left subtree contains smaller values, right subtree contains larger values. Enables O(log n) average operations."
"What is the difference between BST and balanced BST?","BST can become skewed (O(n) operations). Balanced BST (AVL, Red-Black) maintains height balance ensuring O(log n) operations."
"How do you perform BST traversals?","Inorder (left-root-right): gives sorted order. Preorder (root-left-right): good for copying tree. Postorder (left-right-root): good for deletion."
"What are AVL tree balancing operations?","Single rotations (left, right) for simple imbalance. Double rotations (left-right, right-left) for complex imbalance. Maintain height property."
"How do you implement hash tables?","Array of buckets, hash function maps keys to indices. Handle collisions with chaining (linked lists) or open addressing (linear/quadratic probing)."
"What makes a good hash function?","Uniform distribution, fast computation, deterministic, minimal collisions. Examples: division method, multiplication method, universal hashing."
"How do you handle hash table collisions?","Chaining: each bucket contains linked list of colliding elements. Open addressing: probe sequence finds next available slot."
"What is the load factor in hash tables?","Ratio of elements to buckets. High load factor increases collisions. Typically rehash when load factor exceeds 0.7-0.75."
"How do you implement graph representations?","Adjacency matrix: 2D array, good for dense graphs. Adjacency list: array of lists, good for sparse graphs. Consider directed vs undirected."
"What is depth-first search in graphs?","Explore as far as possible along each branch before backtracking. Use stack (explicit or recursion). Applications: topological sort, cycle detection."
"What is breadth-first search in graphs?","Explore all neighbors before moving to next level. Use queue. Applications: shortest path in unweighted graphs, level-order traversal."
"How do you detect cycles in graphs?","DFS with color coding (white-gray-black), or DFS with recursion stack tracking. For undirected graphs, check for back edges."
"What is Dijkstra's algorithm?","Finds shortest paths from source vertex. Use priority queue with distances. Greedy approach: always choose unvisited vertex with minimum distance."
"How do you implement topological sorting?","DFS-based: finish times in decreasing order. Kahn's algorithm: repeatedly remove vertices with no incoming edges. Works only on DAGs."
"What are the different sorting algorithms and their complexities?","Bubble: O(n²), Selection: O(n²), Insertion: O(n²), Merge: O(n log n), Quick: O(n log n) average, Heap: O(n log n), Counting: O(n+k)."
"How does merge sort work?","Divide array into halves recursively until single elements. Merge sorted halves back together. Stable, guaranteed O(n log n), requires extra space."
"How does quicksort work?","Choose pivot, partition array around pivot, recursively sort partitions. In-place, O(n log n) average, O(n²) worst case. Pivot choice affects performance."
"What is the difference between stable and unstable sorting?","Stable sorting preserves relative order of equal elements. Merge sort is stable, quicksort is typically unstable. Important for sorting objects by multiple keys."
"How do you implement binary search?","Repeatedly divide search space in half. Compare target with middle element, eliminate half based on comparison. Requires sorted array."
"What is the time complexity of binary search?","O(log n) time complexity, O(1) space. Each comparison eliminates half the remaining elements. Very efficient for large sorted datasets."
"How do you implement linear search?","Check each element sequentially until found or end reached. O(n) time complexity. Works on unsorted data, simple implementation."
"What are interpolation search improvements over binary search?","Estimates position based on key value and data distribution. Better than binary search for uniformly distributed data: O(log log n) average."
"How do you implement recursive algorithms?","Base case to stop recursion, recursive case that reduces problem size. Example: factorial(n) = n * factorial(n-1), base: factorial(0) = 1."
"What are common recursive patterns?","Divide and conquer (merge sort), tree traversal, backtracking, dynamic programming with memoization. Each reduces problem to smaller subproblems."
"How do you optimize recursive algorithms?","Memoization to cache results, tail recursion optimization, iterative conversion, space optimization by eliminating unnecessary parameters."
"What is dynamic programming?","Optimization technique solving complex problems by breaking into simpler subproblems. Store solutions to avoid redundant calculations. Bottom-up or top-down approach."
